scorer,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000
bodyparts,woodL,woodL,woodL,woodR,woodR,woodR,neck,neck,neck,Lead,Lead,Lead,Lag,Lag,Lag
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
28,228.14495849609375,396.00543212890625,0.9999648332595825,836.1898193359375,405.9422302246094,0.9999992847442627,883.0209350585938,647.8904418945312,0.0027102536987513304,884.412841796875,710.0195922851562,0.045140285044908524,911.2388916015625,712.0711059570312,0.9999737739562988
29,228.69827270507812,396.5257263183594,0.999975323677063,836.2255859375,405.9721984863281,0.9999994039535522,878.1314086914062,647.32177734375,0.04144003242254257,905.9871215820312,709.8540649414062,0.0034402236342430115,911.2388916015625,711.9869995117188,0.999948263168335
30,229.06187438964844,396.8509216308594,0.9999867677688599,836.2900390625,405.9808349609375,0.9999992847442627,877.4126586914062,645.4807739257812,0.058407869189977646,906.020263671875,709.4625244140625,0.003322501899674535,910.9886474609375,711.9699096679688,0.9999265670776367
31,229.5357666015625,397.03802490234375,0.9999887943267822,836.2900390625,405.9808349609375,0.9999992847442627,875.0147705078125,644.1193237304688,0.009567470289766788,906.020263671875,709.4625244140625,0.0025496145244687796,910.870849609375,711.6376953125,0.9999394416809082
32,229.65585327148438,397.35003662109375,0.9999920129776001,836.2900390625,405.9808349609375,0.9999994039535522,875.0147705078125,644.1193237304688,0.002504892647266388,905.9871215820312,709.26611328125,0.0020462097600102425,910.89599609375,711.3854370117188,0.9999631643295288
33,229.71530151367188,397.35003662109375,0.999994158744812,836.2439575195312,405.8517761230469,0.9999994039535522,875.0147705078125,644.1193237304688,0.006741748191416264,789.590576171875,704.4698486328125,0.002154374262318015,910.89599609375,710.7505493164062,0.9999812841415405
34,229.88352966308594,397.35003662109375,0.999994158744812,836.2439575195312,405.8517761230469,0.9999994039535522,884.8126831054688,643.85302734375,0.0028331801295280457,786.6434326171875,704.4698486328125,0.002551506971940398,910.89599609375,710.2449951171875,0.9999791383743286
35,229.8907928466797,397.2547607421875,0.9999938011169434,836.2439575195312,405.8517761230469,0.9999992847442627,884.8126831054688,639.451416015625,0.0025625107809901237,786.06396484375,704.4698486328125,0.5106120109558105,911.7578735351562,710.2081909179688,0.9999877214431763
36,230.05250549316406,397.06842041015625,0.9999916553497314,836.2439575195312,405.8517761230469,0.9999992847442627,884.8126831054688,637.2183837890625,0.9663805961608887,786.06396484375,709.5992431640625,0.8757076263427734,912.1956176757812,710.1597900390625,0.999992847442627
37,230.05250549316406,396.8144226074219,0.9999903440475464,836.2439575195312,405.8517761230469,0.9999994039535522,879.5499877929688,635.7552490234375,0.9988498687744141,786.6434326171875,709.5992431640625,0.871108889579773,912.1956176757812,710.09912109375,0.9999972581863403
