scorer,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000
bodyparts,woodL,woodL,woodL,woodR,woodR,woodR,eye,eye,eye,wing,wing,wing,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,ankle,ankle,ankle,sub1,sub1,sub1,sub2,sub2,sub2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
36,519.2806396484375,292.4882507324219,0.9999523162841797,681.5084838867188,293.8658447265625,0.999972939491272,205.8560333251953,515.6019287109375,0.9999997615814209,160.0465087890625,568.3141479492188,0.9999960660934448,523.5438842773438,281.625244140625,0.0007390473620034754,516.4259643554688,286.9120178222656,0.0008580077555961907,162.49322509765625,655.148681640625,0.5062636733055115,354.63531494140625,643.5518188476562,0.9999990463256836,677.6610107421875,642.0064697265625,0.9999996423721313
37,519.2708740234375,292.5030822753906,0.9999538660049438,681.52587890625,293.84661865234375,0.9999740123748779,205.9938507080078,515.6019287109375,0.9999997615814209,160.24588012695312,568.4215698242188,0.9999973773956299,523.5438842773438,281.62677001953125,0.0007206869195215404,516.416259765625,286.9120178222656,0.0008486546576023102,162.6063995361328,654.7406616210938,0.014581413008272648,354.63531494140625,643.5518188476562,0.9999990463256836,677.6603393554688,642.0006103515625,0.9999996423721313
38,519.2598876953125,292.5030822753906,0.9999535083770752,681.5379638671875,293.8320617675781,0.9999738931655884,206.03594970703125,515.6019287109375,0.9999997615814209,160.24588012695312,568.4413452148438,0.9999969005584717,523.5457153320312,281.62677001953125,0.0007204376743175089,516.4259643554688,286.9304504394531,0.0008692563860677183,525.4165649414062,281.7261962890625,0.003552644280716777,354.64337158203125,643.5518188476562,0.9999990463256836,677.6603393554688,642.0064697265625,0.9999996423721313
39,519.2598876953125,292.5030822753906,0.999953031539917,681.55322265625,293.8096008300781,0.9999743700027466,206.03594970703125,515.5856323242188,0.9999997615814209,160.26451110839844,568.4413452148438,0.9999973773956299,523.5419311523438,281.6240539550781,0.0007325633778236806,667.303466796875,643.4241333007812,0.0008665199857205153,525.4190063476562,281.708984375,0.0035506514832377434,354.64337158203125,643.5059814453125,0.9999990463256836,677.646240234375,642.0006103515625,0.9999996423721313
40,519.2806396484375,292.5030822753906,0.999953031539917,681.5732421875,293.7898254394531,0.999974250793457,206.04238891601562,515.3904418945312,0.9999997615814209,160.26451110839844,568.5791015625,0.9999971389770508,523.5419311523438,281.6184387207031,0.0007214624201878905,667.303466796875,643.4241333007812,0.0008664039196446538,525.4369506835938,281.7083740234375,0.0035932266619056463,354.64337158203125,643.5059814453125,0.9999990463256836,677.6456909179688,642.0006103515625,0.9999996423721313
41,519.2598876953125,292.51470947265625,0.9999512434005737,681.5885009765625,293.7847900390625,0.9999738931655884,206.0712432861328,515.0990600585938,0.9999996423721313,160.26451110839844,568.5791015625,0.9999969005584717,523.5419311523438,281.6184387207031,0.0007160214590840042,667.303466796875,643.399169921875,0.0008543492294847965,525.4425048828125,281.7083740234375,0.0035473781172186136,354.64752197265625,643.5059814453125,0.9999990463256836,677.6456909179688,642.0060424804688,0.9999996423721313
42,519.3118286132812,292.52618408203125,0.999954104423523,681.5885009765625,293.7847900390625,0.9999752044677734,206.1202850341797,514.799560546875,0.9999996423721313,160.46664428710938,568.4221801757812,0.9999964237213135,523.5419311523438,281.6184387207031,0.0007152603939175606,667.342529296875,643.4241333007812,0.0008496413938701153,525.4425048828125,281.7083740234375,0.0035118586383759975,354.6545715332031,643.5082397460938,0.9999990463256836,677.644775390625,642.0104370117188,0.9999996423721313
43,519.3118286132812,292.51470947265625,0.9999547004699707,681.5758056640625,293.7847900390625,0.9999747276306152,206.1202850341797,514.5709838867188,0.9999996423721313,160.50965881347656,568.2689819335938,0.9999972581863403,523.5240478515625,281.6184387207031,0.0007128756260499358,667.342529296875,643.399169921875,0.000851470569614321,525.4369506835938,281.708984375,0.003565829712897539,354.6545715332031,643.5082397460938,0.9999990463256836,677.6456909179688,642.0104370117188,0.9999996423721313
44,519.2155151367188,292.49749755859375,0.9999512434005737,681.5885009765625,293.7838439941406,0.9999747276306152,206.16175842285156,514.4434204101562,0.9999995231628418,160.6314697265625,567.7897338867188,0.9999977350234985,523.5228881835938,281.61676025390625,0.0007333390531130135,667.3348999023438,643.399169921875,0.0008719565812498331,161.6414031982422,654.5698852539062,0.008198650553822517,354.6545715332031,643.5108032226562,0.9999990463256836,677.644775390625,642.0115356445312,0.9999996423721313
45,519.2155151367188,292.51470947265625,0.9999539852142334,681.5758056640625,293.7838439941406,0.9999746084213257,206.16175842285156,514.3009033203125,0.9999995231628418,160.75364685058594,567.6412353515625,0.9999979734420776,523.5240478515625,281.61676025390625,0.0007164620910771191,667.3348999023438,643.399169921875,0.0008471510955132544,161.48545837402344,654.5698852539062,0.021224558353424072,354.6293640136719,643.5082397460938,0.9999990463256836,677.644775390625,642.0115356445312,0.9999996423721313
