scorer,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000
bodyparts,bartop,bartop,bartop,barbot,barbot,barbot,eye,eye,eye,wing,wing,wing,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,ankle,ankle,ankle,sub1,sub1,sub1,sub2,sub2,sub2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
18,1119.7200927734375,217.28274536132812,0.9999551773071289,1111.8792724609375,371.9510803222656,0.9999630451202393,813.9168090820312,574.8167114257812,0.9999990463256836,842.9634399414062,624.100830078125,0.9999916553497314,887.6459350585938,714.0821533203125,0.9999810457229614,871.2556762695312,770.871337890625,0.9999948740005493,829.5994873046875,683.2355346679688,0.9999970197677612,719.5685424804688,482.5143737792969,0.9999991655349731,754.587890625,556.3209838867188,0.9999991655349731
19,1119.78369140625,217.28274536132812,0.9999536275863647,1111.8792724609375,371.9510803222656,0.9999641180038452,813.9168090820312,574.8167114257812,0.9999990463256836,842.6867065429688,624.1004638671875,0.9999899864196777,887.591064453125,713.9515380859375,0.9999805688858032,871.2556762695312,770.68798828125,0.9999946355819702,829.5994873046875,683.2562255859375,0.9999972581863403,719.5685424804688,482.5143737792969,0.9999991655349731,754.587890625,556.3209838867188,0.9999991655349731
20,1119.7984619140625,217.28274536132812,0.9999536275863647,1111.8792724609375,371.9389953613281,0.9999557733535767,813.9503173828125,574.8167114257812,0.9999990463256836,842.1531982421875,623.8465576171875,0.999987006187439,887.3609008789062,713.75146484375,0.9999822378158569,871.2678833007812,770.68798828125,0.9999945163726807,829.662841796875,683.2562255859375,0.9999972581863403,719.6067504882812,482.5143737792969,0.9999991655349731,754.587890625,556.3209838867188,0.9999991655349731
21,1119.78369140625,217.18878173828125,0.9999512434005737,1111.95751953125,371.9305114746094,0.9999510049819946,814.029541015625,574.7515258789062,0.9999990463256836,841.7338256835938,623.720947265625,0.9999878406524658,887.0470581054688,712.6348876953125,0.9999821186065674,871.2678833007812,770.3594970703125,0.9999942779541016,829.718017578125,683.2562255859375,0.9999973773956299,719.6402587890625,482.4815368652344,0.9999990463256836,754.6266479492188,556.2138671875,0.9999991655349731
22,1119.78369140625,217.18878173828125,0.9999481439590454,1111.95751953125,371.9098815917969,0.9999557733535767,814.1497192382812,574.7515258789062,0.9999990463256836,841.4800415039062,623.6267700195312,0.9999855756759644,886.9910888671875,712.2845458984375,0.9999865293502808,871.2678833007812,770.1614990234375,0.9999945163726807,829.7335205078125,683.2562255859375,0.9999972581863403,719.6402587890625,482.4815368652344,0.9999990463256836,754.6266479492188,556.2138671875,0.9999991655349731
23,1119.7506103515625,217.18878173828125,0.9999387264251709,1111.95751953125,371.9098815917969,0.9999587535858154,814.2195434570312,574.7515258789062,0.9999990463256836,841.0116577148438,623.6267700195312,0.9999840259552002,886.66943359375,711.7260131835938,0.9999939203262329,871.05859375,769.9052124023438,0.9999942779541016,829.7335205078125,683.2886962890625,0.9999971389770508,719.6402587890625,482.4815368652344,0.9999990463256836,754.6266479492188,556.2138671875,0.9999991655349731
24,1119.7506103515625,217.20169067382812,0.9999345541000366,1111.9158935546875,371.9098815917969,0.999962568283081,814.2694702148438,575.0321044921875,0.9999988079071045,840.5074462890625,623.6267700195312,0.9999806880950928,886.2369384765625,711.6035766601562,0.9999957084655762,870.7595825195312,769.724853515625,0.999994158744812,829.7335205078125,683.2785034179688,0.9999973773956299,719.5189208984375,482.5516357421875,0.9999991655349731,754.6251831054688,556.3563232421875,0.9999991655349731
25,1119.7506103515625,217.25831604003906,0.9999232292175293,1111.9158935546875,371.98809814453125,0.9999675750732422,814.6771850585938,575.5117797851562,0.999998927116394,840.4229736328125,623.5492553710938,0.9999805688858032,885.7841186523438,711.5787963867188,0.9999969005584717,870.5548095703125,769.6461791992188,0.9999935626983643,829.7335205078125,683.2839965820312,0.9999974966049194,719.5189208984375,482.61517333984375,0.9999991655349731,754.6251831054688,556.3563232421875,0.9999991655349731
26,1119.778564453125,217.3039093017578,0.9999219179153442,1111.9158935546875,371.98809814453125,0.9999674558639526,816.0784301757812,577.0809936523438,0.9999996423721313,839.6283569335938,623.5492553710938,0.9999768733978271,885.4130859375,711.5267333984375,0.9999973773956299,870.365234375,769.5216674804688,0.999994158744812,829.7481079101562,683.2839965820312,0.9999974966049194,719.5189208984375,482.61517333984375,0.9999991655349731,754.6251831054688,556.3563232421875,0.9999992847442627
27,1119.8516845703125,217.3039093017578,0.99992835521698,1111.916748046875,371.98809814453125,0.999967098236084,817.4738159179688,578.5987548828125,0.9999998807907104,839.3411865234375,622.3214111328125,0.9999691247940063,885.3900756835938,711.2835083007812,0.999997615814209,870.2411499023438,769.1434936523438,0.9999936819076538,829.682373046875,683.2785034179688,0.9999977350234985,719.6077270507812,482.61517333984375,0.9999991655349731,754.6417236328125,556.2727661132812,0.9999992847442627
28,1119.8983154296875,217.30491638183594,0.9999285936355591,1111.916748046875,371.99127197265625,0.9999649524688721,819.050048828125,579.0619506835938,0.9999998807907104,838.8759765625,620.9818115234375,0.9999877214431763,885.1783447265625,711.2341918945312,0.9999983310699463,870.000732421875,768.889892578125,0.9999940395355225,829.682373046875,683.2445678710938,0.9999979734420776,719.6077270507812,482.582763671875,0.9999991655349731,754.6417236328125,556.0055541992188,0.9999992847442627
29,1119.8983154296875,217.30491638183594,0.9999291896820068,1111.916748046875,372.0049133300781,0.9999635219573975,820.2330322265625,579.1048583984375,0.9999998807907104,838.8171997070312,620.4334716796875,0.9999918937683105,884.7605590820312,709.955078125,0.9999988079071045,869.80419921875,768.2615966796875,0.9999934434890747,829.5654296875,683.009033203125,0.9999980926513672,719.6077270507812,482.582763671875,0.9999990463256836,754.6417236328125,556.0055541992188,0.9999992847442627
30,1119.8983154296875,217.30491638183594,0.9999352693557739,1111.8863525390625,372.06787109375,0.9999662637710571,820.2330322265625,579.201416015625,0.9999998807907104,838.7373657226562,620.1226806640625,0.9999874830245972,884.1759033203125,709.1228637695312,0.9999990463256836,869.4265747070312,767.8474731445312,0.999992847442627,829.3677368164062,682.900146484375,0.9999980926513672,719.5899047851562,482.582763671875,0.9999991655349731,754.5679321289062,556.0055541992188,0.9999992847442627
31,1119.8890380859375,217.50772094726562,0.9999383687973022,1111.8863525390625,372.34942626953125,0.9999692440032959,820.2330322265625,579.3071899414062,0.9999998807907104,838.5350952148438,620.0875854492188,0.9999803304672241,883.9224243164062,708.3250122070312,0.999998927116394,869.2998657226562,767.6040649414062,0.999992847442627,829.1209716796875,682.8787231445312,0.9999982118606567,719.5323486328125,482.6922912597656,0.9999991655349731,754.5101928710938,556.0785522460938,0.9999992847442627
32,1119.8890380859375,217.50772094726562,0.9999463558197021,1111.8863525390625,372.4510498046875,0.9999703168869019,819.8876342773438,579.5945434570312,1.0,838.3834838867188,619.9326782226562,0.9999784231185913,883.87255859375,707.6906127929688,0.999998927116394,869.1229858398438,766.933349609375,0.999993085861206,828.9868774414062,682.861328125,0.9999982118606567,719.5323486328125,482.7342834472656,0.9999991655349731,754.5101928710938,556.1378784179688,0.9999992847442627
33,1119.8890380859375,217.50772094726562,0.9999487400054932,1111.9249267578125,372.4510498046875,0.9999701976776123,819.7018432617188,579.6826171875,1.0,838.20263671875,619.5156860351562,0.9999793767929077,883.8522338867188,707.2698364257812,0.999998927116394,868.852783203125,766.2546997070312,0.9999964237213135,828.905029296875,682.7330322265625,0.9999982118606567,719.5323486328125,482.7342834472656,0.9999991655349731,754.5101928710938,556.1378784179688,0.9999992847442627
34,1119.9722900390625,217.55593872070312,0.9999507665634155,1112.1153564453125,372.4510498046875,0.9999672174453735,819.68017578125,579.7518310546875,1.0,837.9750366210938,619.1072998046875,0.9999822378158569,883.8522338867188,706.3804321289062,0.9999986886978149,868.4986572265625,765.3833618164062,0.9999977350234985,828.8124389648438,682.5475463867188,0.9999980926513672,719.5510864257812,482.7342834472656,0.9999991655349731,754.5288696289062,556.1378784179688,0.9999992847442627
