scorer,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000
bodyparts,limb,limb,limb,Wing,Wing,Wing,WingBase,WingBase,WingBase,TailTip,TailTip,TailTip,Eye,Eye,Eye,LWood,LWood,LWood,RWood,RWood,RWood,sub1,sub1,sub1,sub2,sub2,sub2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
18,570.7702026367188,707.4099731445312,0.9998272061347961,564.4520263671875,631.1162719726562,0.9999624490737915,691.7242431640625,688.690673828125,0.9998308420181274,741.120849609375,751.5690307617188,0.9999372959136963,511.605224609375,607.2769165039062,0.9999809265136719,574.1258544921875,466.4010314941406,0.9999876022338867,761.62646484375,453.35107421875,0.99997878074646,208.16281127929688,587.4078369140625,0.9999617338180542,781.0848388671875,828.5603637695312,0.9994390606880188
19,553.9331665039062,707.3926391601562,0.9998127818107605,559.0587768554688,627.7918090820312,0.999950647354126,689.421875,688.5087890625,0.9999616146087646,731.18310546875,748.8597412109375,0.9995032548904419,504.3126525878906,603.9540405273438,0.9999867677688599,574.100341796875,466.4010314941406,0.9999886751174927,761.62646484375,453.35107421875,0.9999784231185913,208.16281127929688,587.4078369140625,0.9999595880508423,781.1549072265625,828.6701049804688,0.9995245933532715
20,533.4949340820312,707.2994995117188,0.9999889135360718,549.995361328125,622.9111328125,0.9999306201934814,685.8076782226562,687.298095703125,0.9999220371246338,722.9282836914062,747.7234497070312,0.999402642250061,496.84759521484375,601.8170166015625,0.9999843835830688,574.009033203125,466.4010314941406,0.9999885559082031,761.6549682617188,453.35107421875,0.9999781847000122,208.10353088378906,587.3031005859375,0.9999600648880005,781.1549072265625,828.6701049804688,0.9995063543319702
21,531.8355712890625,707.2994995117188,0.999995231628418,541.4186401367188,621.132568359375,0.9991069436073303,675.5511474609375,685.3543701171875,0.9999353885650635,709.0095825195312,747.0926513671875,0.9997050166130066,488.8584289550781,599.8387451171875,0.9999678134918213,574.0894775390625,466.4010314941406,0.9999881982803345,761.7617797851562,453.3837585449219,0.9999793767929077,208.10353088378906,587.378662109375,0.9999600648880005,781.2861328125,828.7266235351562,0.9995442032814026
22,531.1785888671875,707.3926391601562,0.9999942779541016,531.783203125,619.26513671875,0.9998844861984253,669.244384765625,682.4274291992188,0.9997568726539612,704.7705688476562,747.0926513671875,0.9999029636383057,481.1815185546875,596.68994140625,0.9999886751174927,574.0445556640625,466.4010314941406,0.9999879598617554,761.9010620117188,453.3837585449219,0.9999803304672241,208.0936279296875,587.378662109375,0.9999597072601318,781.2861328125,828.6701049804688,0.9995731711387634
23,531.078857421875,707.3926391601562,0.9999948740005493,525.47998046875,615.4562377929688,0.9997566342353821,663.6570434570312,681.7996826171875,0.9999053478240967,700.4765014648438,747.0926513671875,0.9998316764831543,475.4796447753906,594.0103759765625,0.9999784231185913,574.0445556640625,466.38006591796875,0.9999884366989136,762.0838623046875,453.3276672363281,0.9999790191650391,208.0936279296875,587.3549194335938,0.9999613761901855,781.2698974609375,828.618408203125,0.9995425939559937
24,530.9512939453125,707.2994995117188,0.9999947547912598,520.5426025390625,613.1328735351562,0.9999111890792847,655.592529296875,680.4189453125,0.9998069405555725,686.181884765625,747.4696044921875,0.9996470212936401,467.0702819824219,590.7510986328125,0.9999898672103882,574.0049438476562,466.38006591796875,0.9999877214431763,762.09326171875,453.3276672363281,0.9999762773513794,208.08509826660156,587.3549194335938,0.9999617338180542,781.2698974609375,828.618408203125,0.9994361996650696
25,530.4754028320312,707.1924438476562,0.999993085861206,513.7232055664062,609.451416015625,0.9999603033065796,649.3834228515625,680.225341796875,0.9997920393943787,678.193603515625,747.4696044921875,0.9997319579124451,459.7588806152344,588.6032104492188,0.9999700784683228,573.9053344726562,466.3580017089844,0.9999881982803345,762.151611328125,453.3837585449219,0.9999747276306152,208.08509826660156,587.3549194335938,0.9999574422836304,781.2698974609375,828.6660766601562,0.9994826316833496
26,530.3766479492188,707.1924438476562,0.9999908208847046,507.3420715332031,607.6675415039062,0.9997105002403259,640.421142578125,679.42431640625,0.999913215637207,669.0315551757812,747.4696044921875,0.9990567564964294,453.8068542480469,585.7323608398438,0.999996542930603,573.9053344726562,466.3580017089844,0.9999878406524658,762.2503051757812,453.41748046875,0.9999768733978271,208.08509826660156,587.3549194335938,0.999958872795105,781.1920166015625,828.6660766601562,0.999581515789032
27,530.3766479492188,707.1924438476562,0.9999908208847046,501.99981689453125,605.9305419921875,0.9998038411140442,633.3939208984375,679.3623046875,0.9998936653137207,660.3109741210938,745.3486328125,0.9996312856674194,448.09442138671875,583.5210571289062,0.9999945163726807,573.9053344726562,466.3580017089844,0.9999878406524658,762.6763305664062,453.41748046875,0.9999788999557495,208.02139282226562,587.3131103515625,0.9999607801437378,780.9747314453125,828.6903686523438,0.9995554089546204
28,530.3766479492188,707.0878295898438,0.9999920129776001,495.3175048828125,602.9008178710938,0.9996459484100342,625.3546142578125,679.0341796875,0.9999394416809082,651.46728515625,742.1986083984375,0.9998770952224731,442.6324768066406,581.7945556640625,0.99998939037323,574.0632934570312,466.3069763183594,0.9999876022338867,762.9049072265625,453.5049743652344,0.9999773502349854,208.1448516845703,587.2529296875,0.9999634027481079,780.9747314453125,828.7716674804688,0.9995620846748352
